25,125,11,1500,125,0,19.584,0.9948,124.57,0.0001
25,100,12,2000,15,276,15.6151,0.140102,41.74,0.0001
25,75,14,1725,0,205,12.2927,0.0302899,6.63,0.0001
25,50,15,1000,37,195,14.6379,0.185408,43.53,0.0001
25,25,16,300,107,8,13.7391,0.113761,13.53,0.0001
50,250,22,6250,68,0,10,4.82338,328.21,0.0001
50,200,25,8000,23,36,7.22034,2.0939,123.8,0.0001
50,150,28,6750,4,446,7.11111,0.318022,143.62,0.0001
50,100,30,4000,36,86,6.80328,0.995902,121.8,0.0001
50,50,33,1250,132,2,7.41791,0.986343,132.48,0.0001
75,375,34,14250,5,0,6.66667,30.018,150.09,0.0001
75,300,38,18000,36,11,4.31206,6.31532,296.99,0.0001
75,225,41,15300,51,275,4.0818,0.438589,143.75,0.0001
75,150,45,9000,20,33,4.47799,2.29623,121.9,0.0001
75,75,49,2850,42,0,4.92064,2.87619,121.02,0.0001
100,500,45,25000,5,0,5,153.386,766.93,0.0001
100,400,50,32000,5,0,3,32.308,161.54,0.0001
100,300,55,27000,117,45,2.29012,0.744074,121.01,0.0001
100,200,60,16000,16,37,3.56604,5.63302,298.75,0.0001
100,100,65,5000,37,0,4,5.66162,209.66,0.0001
